"","aged","bwtr14"
"1620",3,7
"1621",6,8
"1622",66,8
"1623",1,11
"1624",0,2
"1625",0,6
"1626",2,2
"1627",14,2
"1628",65,2
"1629",9,9
"1630",0,2
"1631",102,11
"1632",0,8
"1633",0,4
"1634",15,9
"1635",0,1
"1636",0,2
"1637",0,3
"1638",258,9
"1639",2,2
"1640",0,6
"1641",0,2
"1642",0,3
"1643",7,2
"1644",0,1
"1645",20,4
"1646",2,4
"1647",305,7
"1648",19,9
"1649",0,7
"1650",76,7
"1651",4,2
"1652",0,1
"1653",2,7
"1654",0,7
"1655",15,3
"1656",6,2
"1657",0,2
"1658",0,10
"1659",0,1
"1660",84,10
"1661",0,1
"1662",0,2
"1663",0,1
"1664",0,2
"1665",1,1
"1666",64,7
"1667",244,7
"1668",0,1
"1669",0,1
"1670",150,7
"1671",33,8
"1672",25,8
"1673",0,6
"1674",5,10
"1675",0,3
"1676",0,4
"1677",0,1
"1678",0,7
"1679",0,2
"1680",46,9
"1681",0,6
"1682",0,1
"1683",3,2
"1684",283,5
"1685",6,8
"1686",81,6
"1687",0,1
"1688",8,6
"1689",27,8
"1690",2,3
"1691",0,1
"1692",0,1
"1693",0,1
"1694",4,2
"1695",77,8
"1696",9,3
"1697",10,8
"1698",243,3
"1699",0,1
"1700",0,8
"1701",0,2
"1702",0,2
"1703",0,1
"1704",2,10
"1705",76,8
"1706",176,11
"1707",0,6
"1708",0,1
"1709",0,1
"1710",86,2
"1711",0,6
"1712",7,3
"1713",96,9
"1714",77,9
"1715",0,1
"1716",58,9
"1717",99,8
"1718",0,8
"1719",0,6
"1720",43,7
"1721",51,6
"1722",327,4
"1723",183,9
"1724",0,1
"1725",61,8
"1726",0,1
"1727",179,10
"1728",0,1
"1729",1,1
"1730",0,1
"1731",45,9
"1732",0,1
"1733",18,2
"1734",0,6
"1735",7,10
"1736",25,9
"1737",0,1
"1738",274,6
"1739",0,1
"1740",0,1
"1741",0,2
"1742",0,1
"1743",13,4
"1744",1,1
"1745",67,6
"1746",108,9
"1747",1,6
"1748",0,8
"1749",0,1
"1750",253,4
"1751",0,6
"1752",7,1
"1753",0,5
"1754",169,10
"1755",0,2
"1756",61,10
"1757",1,7
"1758",0,1
"1759",0,1
"1760",91,9
"1761",0,2
"1762",0,2
"1763",0,1
"1764",5,3
"1765",0,1
"1766",80,7
"1767",161,3
"1768",41,7
"1769",197,10
"1770",0,2
"1771",2,9
"1772",0,6
"1773",0,1
"1774",4,2
"1775",23,7
"1776",48,7
"1777",0,1
"1778",1,5
"1779",0,1
"1780",177,10
"1781",108,7
"1782",16,7
"1783",152,10
"1784",0,1
"1785",54,1
"1786",1,9
"1787",181,6
"1788",63,2
"1789",0,9
"1790",0,1
"1791",0,1
"1792",0,1
"1793",50,9
"1794",174,8
"1795",2,1
"1796",122,8
"1797",0,1
"1798",15,1
"1799",2,9
"1800",109,7
"1801",4,4
"1802",15,3
"1803",1,7
"1804",13,2
"1805",0,1
"1806",0,2
"1807",42,10
"1808",1,4
"1809",0,2
"1810",0,6
"1811",7,8
"1812",12,2
"1813",95,6
"1814",0,3
"1815",0,1
"1816",0,1
"1817",187,9
"1818",29,9
"1819",7,2
"1820",16,2
"1821",0,3
"1822",8,2
"1823",6,2
"1824",56,9
"1825",9,1
"1826",0,9
"1827",46,3
"1828",1,10
"1829",264,9
"1830",5,5
"1831",1,1
"1832",1,10
"1833",0,2
"1834",0,1
"1835",0,1
"1836",0,5
"1837",13,8
"1838",0,1
"1839",21,7
"1840",12,9
"1841",39,7
"1842",80,8
"1843",0,1
"1844",0,5
"1845",0,2
"1846",0,1
"1847",7,3
"1848",16,9
"1849",13,9
"1850",35,9
"1851",77,9
"1852",0,3
"1853",0,3
"1854",5,1
"1855",0,2
"1856",0,3
"1857",0,1
"1858",152,9
"1859",0,1
"1860",0,2
"1861",0,2
"1862",0,2
"1863",0,1
"1864",0,1
"1865",3,10
"1866",242,9
"1867",2,8
"1868",0,9
